425578 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425578 write(8, "LOG_START_wsgi ,TS=1715882229.06"..., 38) = 38
425752 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425755 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425756 write(8, "LOG_START_wsgi ,TS=1715882232.45"..., 38) = 38
425753 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425755 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425752 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425756 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425749 write(11, "\"{}\"", 4)           = 4
425753 write(8, "TID = \n425753\n", 14) = 14
425752 write(8, "LOG_STOP_wsgi, TS=1715882232.441"..., 36) = 36
425755 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425756 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425755 write(8, "PID = \n425109\n", 14) = 14
425753 write(3, "INFO:werkzeug:TID = \n425753\n", 28) = 28
425757 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425752 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
425752 write(1, "#*# REQ_SEND\n", 13)   = 13
425753 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425756 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425752 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425749 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425757 write(8, "LOG_START_wsgi ,TS=1715882232.45"..., 38 <unfinished ...>
425755 write(3, "INFO:werkzeug:PID = \n425109\n", 28 <unfinished ...>
425756 write(8, "PID = \n425109\n", 14) = 14
425753 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425749 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425757 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425755 write(8, "TID = \n425755\n", 14) = 14
425752 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425753 write(8, "LOG_STOP_wsgi, TS=1715882232.443"..., 37) = 37
425756 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425757 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425749 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425756 write(8, "TID = \n425756\n", 14) = 14
425755 write(3, "INFO:werkzeug:TID = \n425755\n", 28) = 28
425755 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425753 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425758 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425753 write(1, "#*# REQ_SEND\n", 13)   = 13
425757 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425758 write(8, "LOG_START_wsgi ,TS=1715882232.46"..., 38) = 38
425753 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425756 write(3, "INFO:werkzeug:TID = \n425756\n", 28) = 28
425757 write(8, "PID = \n425109\n", 14) = 14
425756 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425755 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425755 write(8, "LOG_STOP_wsgi, TS=1715882232.449"..., 37) = 37
425758 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425758 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425757 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425757 write(8, "TID = \n425757\n", 14) = 14
425756 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425756 write(8, "LOG_STOP_wsgi, TS=1715882232.453"..., 37) = 37
425753 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425755 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425755 write(1, "#*# REQ_SEND\n", 13)   = 13
425758 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425755 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425758 write(8, "PID = \n425109\n", 14) = 14
425757 write(3, "INFO:werkzeug:TID = \n425757\n", 28) = 28
425757 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425756 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425756 write(1, "#*# REQ_SEND\n", 13)   = 13
425756 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425752 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425752 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425755 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425752 write(1, "*#* RES_REC\n", 12)    = 12
425752 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425758 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425758 write(8, "TID = \n425758\n", 14) = 14
425757 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425757 write(8, "LOG_STOP_wsgi, TS=1715882232.459"..., 37) = 37
425756 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425752 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425758 write(3, "INFO:werkzeug:TID = \n425758\n", 28) = 28
425758 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425757 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425757 write(1, "#*# REQ_SEND\n", 13)   = 13
425758 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425757 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425752 write(19, "\"{}\"", 4)           = 4
425758 write(8, "LOG_STOP_wsgi, TS=1715882232.467"..., 37) = 37
425758 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425758 write(1, "#*# REQ_SEND\n", 13)   = 13
425757 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425758 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425752 write(3, "INFO:jaeger_tracing:Reporting sp"..., 90) = 90
425752 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425753 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425752 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425758 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425753 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425753 write(1, "*#* RES_REC\n", 12)    = 12
425753 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425753 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425753 write(9, "\"{}\"", 4)            = 4
425753 write(3, "INFO:jaeger_tracing:Reporting sp"..., 90) = 90
425753 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425753 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425755 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425756 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425756 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425756 write(1, "*#* RES_REC\n", 12)    = 12
425755 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425756 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425755 write(1, "*#* RES_REC\n", 12)    = 12
425756 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425755 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425757 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425755 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425757 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425757 write(1, "*#* RES_REC\n", 12)    = 12
425757 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425756 write(9, "\"{}\"", 4)            = 4
425755 write(15, "\"{}\"", 4)           = 4
425757 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425755 write(3, "INFO:jaeger_tracing:Reporting sp"..., 90) = 90
425755 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425757 write(9, "\"{}\"", 4)            = 4
425756 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425756 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425755 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425756 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425757 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425757 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425758 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425757 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425758 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425758 write(1, "*#* RES_REC\n", 12)    = 12
425758 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425758 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425758 write(9, "\"{}\"", 4)            = 4
425758 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425758 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425758 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83 <unfinished ...>
425778 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425778 write(8, "LOG_START_wsgi ,TS=1715882233.40"..., 38) = 38
425778 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425778 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425778 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425778 write(8, "PID = \n425109\n", 14) = 14
425778 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425778 write(8, "TID = \n425778\n", 14) = 14
425778 write(3, "INFO:werkzeug:TID = \n425778\n", 28) = 28
425778 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425778 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425778 write(8, "LOG_STOP_wsgi, TS=1715882233.407"..., 37) = 37
425778 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425778 write(1, "#*# REQ_SEND\n", 13)   = 13
425778 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425778 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425778 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425778 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425778 write(1, "*#* RES_REC\n", 12)    = 12
425778 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425778 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425778 write(11, "\"{}\"", 4)           = 4
425778 write(3, "INFO:jaeger_tracing:Reporting sp"..., 90) = 90
425778 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425778 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425781 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425781 write(8, "LOG_START_wsgi ,TS=1715882233.43"..., 38) = 38
425781 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425781 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425781 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425781 write(8, "PID = \n425109\n", 14) = 14
425781 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425781 write(8, "TID = \n425781\n", 14) = 14
425781 write(3, "INFO:werkzeug:TID = \n425781\n", 28) = 28
425781 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425781 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425781 write(8, "LOG_STOP_wsgi, TS=1715882233.436"..., 37) = 37
425781 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425781 write(1, "#*# REQ_SEND\n", 13)   = 13
425781 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425781 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425781 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425781 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425781 write(1, "*#* RES_REC\n", 12)    = 12
425781 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425781 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425781 write(11, "\"{}\"", 4)           = 4
425781 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425781 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425781 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425784 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425784 write(8, "LOG_START_wsgi ,TS=1715882233.57"..., 38) = 38
425785 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425784 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425785 write(8, "LOG_START_wsgi ,TS=1715882233.57"..., 38) = 38
425786 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425785 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425784 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425786 write(8, "LOG_START_wsgi ,TS=1715882233.57"..., 38) = 38
425787 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 364) = 364
425784 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425785 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425788 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 364) = 364
425787 write(8, "LOG_START_wsgi ,TS=1715882233.57"..., 37) = 37
425786 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425785 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160 <unfinished ...>
425784 write(8, "PID = \n425109\n", 14) = 14
425789 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425788 write(8, "LOG_START_wsgi ,TS=1715882233.58"..., 37) = 37
425787 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
425784 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425790 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 364) = 364
425786 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425788 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
425786 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425785 write(8, "PID = \n425109\n", 14) = 14
425785 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425791 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 365) = 365
425789 write(8, "LOG_START_wsgi ,TS=1715882233.58"..., 38) = 38
425789 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425787 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425790 write(8, "LOG_START_wsgi ,TS=1715882233.58"..., 37) = 37
425787 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425784 write(8, "TID = \n425784\n", 14) = 14
425790 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
425788 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425784 write(3, "INFO:werkzeug:TID = \n425784\n", 28) = 28
425786 write(8, "PID = \n425109\n", 14) = 14
425788 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425785 write(8, "TID = \n425785\n", 14) = 14
425786 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425791 write(8, "LOG_START_wsgi ,TS=1715882233.58"..., 38) = 38
425785 write(3, "INFO:werkzeug:TID = \n425785\n", 28) = 28
425789 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425791 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 52) = 52
425787 write(8, "PID = \n425109\n", 14) = 14
425789 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425790 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425784 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425787 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425790 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425788 write(8, "PID = \n425109\n", 14) = 14
425784 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425786 write(8, "TID = \n425786\n", 14) = 14
425788 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425785 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425786 write(3, "INFO:werkzeug:TID = \n425786\n", 28) = 28
425791 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425785 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425789 write(8, "PID = \n425109\n", 14) = 14
425791 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425787 write(8, "TID = \n425787\n", 14) = 14
425789 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425790 write(8, "PID = \n425109\n", 14) = 14
425784 write(8, "LOG_STOP_wsgi, TS=1715882233.574"..., 37) = 37
425787 write(3, "INFO:werkzeug:TID = \n425787\n", 28) = 28
425788 write(8, "TID = \n425788\n", 14) = 14
425790 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425786 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425784 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425785 write(8, "LOG_STOP_wsgi, TS=1715882233.575"..., 37) = 37
425784 write(1, "#*# REQ_SEND\n", 13)   = 13
425784 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425788 write(3, "INFO:werkzeug:TID = \n425788\n", 28) = 28
425791 write(8, "PID = \n425109\n", 14) = 14
425786 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425789 write(8, "TID = \n425789\n", 14) = 14
425785 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425785 write(1, "#*# REQ_SEND\n", 13)   = 13
425785 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425787 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425791 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425789 write(3, "INFO:werkzeug:TID = \n425789\n", 28) = 28
425790 write(8, "TID = \n425790\n", 14) = 14
425788 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425784 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425786 write(8, "LOG_STOP_wsgi, TS=1715882233.576"..., 37) = 37
425787 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425785 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425791 write(8, "TID = \n425791\n", 14) = 14
425790 write(3, "INFO:werkzeug:TID = \n425790\n", 28) = 28
425789 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425788 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425787 write(8, "LOG_STOP_wsgi, TS=1715882233.578"..., 36) = 36
425786 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425786 write(1, "#*# REQ_SEND\n", 13)   = 13
425790 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425791 write(3, "INFO:werkzeug:TID = \n425791\n", 28) = 28
425786 write(2, "{\"message\": \"Get with url http:/"..., 353 <unfinished ...>
425788 write(8, "LOG_STOP_wsgi, TS=1715882233.580"..., 36) = 36
425791 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425789 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425789 write(8, "LOG_STOP_wsgi, TS=1715882233.582"..., 37) = 37
425787 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
425787 write(1, "#*# REQ_SEND\n", 13)   = 13
425790 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425790 write(8, "LOG_STOP_wsgi, TS=1715882233.585"..., 36) = 36
425787 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425788 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
425788 write(1, "#*# REQ_SEND\n", 13)   = 13
425786 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425788 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425791 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425791 write(8, "LOG_STOP_wsgi, TS=1715882233.587"..., 37) = 37
425789 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425789 write(1, "#*# REQ_SEND\n", 13)   = 13
425790 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
425789 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425790 write(1, "#*# REQ_SEND\n", 13)   = 13
425787 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425790 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425791 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 51) = 51
425791 write(1, "#*# REQ_SEND\n", 13)   = 13
425791 write(2, "{\"message\": \"Get with url http:/"..., 353) = 353
425788 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425789 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425790 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79) = 79
425791 write(3, "DEBUG:urllib3.connectionpool:Sta"..., 79 <unfinished ...>
425785 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425785 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425785 write(1, "*#* RES_REC\n", 12)    = 12
425785 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425785 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425785 write(18, "\"{}\"", 4)           = 4
425784 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425785 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425785 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425784 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425784 write(1, "*#* RES_REC\n", 12)    = 12
425785 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425784 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425786 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425784 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425786 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425786 write(1, "*#* RES_REC\n", 12)    = 12
425786 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425786 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425784 write(19, "\"{}\"", 4)           = 4
425786 write(12, "\"{}\"", 4)           = 4
425786 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425786 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425784 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425784 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425786 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425784 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425787 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425787 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425787 write(1, "*#* RES_REC\n", 12)    = 12
425787 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425787 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425787 write(9, "\"{}\"", 4)            = 4
425787 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425787 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425787 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425789 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425789 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425789 write(1, "*#* RES_REC\n", 12)    = 12
425789 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425789 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425789 write(9, "\"{}\"", 4)            = 4
425789 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425789 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425789 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425790 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425790 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425790 write(1, "*#* RES_REC\n", 12)    = 12
425790 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425790 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425790 write(11, "\"{}\"", 4)           = 4
425790 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425790 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425790 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425791 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425788 write(3, "DEBUG:urllib3.connectionpool:htt"..., 89) = 89
425791 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425791 write(1, "*#* RES_REC\n", 12)    = 12
425788 write(2, "{\"message\": \"Response <Response "..., 202) = 202
425791 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425788 write(1, "*#* RES_REC\n", 12)    = 12
425791 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425788 write(8, "REC_DATA_SIZE=53\n", 17) = 17
425788 write(3, "INFO:werkzeug:REC_DATA_SIZE=53\n", 31) = 31
425791 write(11, "\"{}\"", 4)           = 4
425788 write(12, "\"{}\"", 4)           = 4
425791 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425791 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425788 write(3, "INFO:jaeger_tracing:Reporting sp"..., 91) = 91
425791 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425788 write(8, "10.145.11.89 - - [16/May/2024 23"..., 69) = 69
425788 write(3, "INFO:werkzeug:10.145.11.89 - - ["..., 83) = 83
425808 write(2, "{\"message\": \"\\nTrace_LOG_START:,"..., 364) = 364
425808 write(8, "LOG_START_wsgi ,TS=1715882234.43"..., 37) = 37
425808 write(3, "INFO:werkzeug:LOG_START_wsgi ,TS"..., 51) = 51
425808 write(8, "headers = \nHost: 10.5.30.76:5000"..., 146) = 146
425808 write(3, "INFO:werkzeug:headers = \nHost: 1"..., 160) = 160
425808 write(8, "PID = \n425109\n", 14) = 14
425808 write(3, "INFO:werkzeug:PID = \n425109\n", 28) = 28
425808 write(8, "TID = \n425808\n", 14) = 14
425808 write(3, "INFO:werkzeug:TID = \n425808\n", 28) = 28
425808 write(8, "post_data_form = \nImmutableMulti"..., 41) = 41
425808 write(3, "INFO:werkzeug:post_data_form = \n"..., 55) = 55
425808 write(8, "LOG_STOP_wsgi, TS=1715882234.432"..., 36) = 36
425808 write(3, "INFO:werkzeug:LOG_STOP_wsgi, TS="..., 50) = 50
